#
#   The ISCC-NBS System is a tiling of the Munsell Space. into 267 color blocks.
#   For these purposes, there is no attempt to locate the MacAdam Boundary (aka optimal colors);
#   the space is only limited by 0 <= Value <= 10.  Some blocks are semi-infinite.
#   Each block is a union of elementary blocks, where an elementary block is defined
#   by its minimum and maximum limits in Hue, Value, and Chroma.
#   Some blocks are non-convex and can be partitioned into elementary blocks in many ways,
#   but still define the same block.
#   There are 932 elementary blocks in this file.
#
#   The blocks are defined in:
#
#       Color : Universal Language and Dictionary of Names
#       ISCC-NBS Method of Designating Colors and a Dictionary of Color Names
#       Kelly, Kenneth Low, 1910-
#       Judd, Deane Brewster, 1900-1972
#       NBS Special Publication 440
#       December 1976 
#       Section 13: Color Name Charts, pp. 16-31
#
#   Electronic versions of this publication are available at:
#       https://archive.org/details/coloruniversalla00kell
#
#   The numerical hues below are from ASTM D1535, except they are are wrapped
#   to the interval [1,101) instead of (0,100].  The reason is that the last chart
#   is for the hue interval from 99 to 101.
#
#   The Value interval is [0,10].  Value=0 is included in these charts.
#   The Chroma interval is [0,Inf).  Some elementary blocks are infinite on the right.
#
#   Each row in the table below defines an elementary block.  The columns are:
#
#   HueInterval     interval of hues in the hue chart defining the elementary block
#   Hmin            minimum ASTM D1535 Hue for the elementary block
#   Hmax            maximum ASTM D1535 Hue for the elementary block
#   Vmin            minimum Value for the elementary block
#   Vmax            maximum Value for the elementary block
#   Cmin            minimum Chroma for the elementary block
#   Cmax            maximum Chroma for the elementary block. Cmax=Inf for some elementary blocks.
#   Number          color number of the elementary block, from 1 to 267
#
#   The names of the color blocks are in the file: Centrals_ISCC-NBS.txt
#
#   Some optimization is possible here.
#   The colors black (267) and dark gray (266) are the union of 31 elementary blocks,
#   but each one could be simplified to a single elementary block, with hue from 1 to 101.
#   This would reduce the elementary blocks by 60, from 932 to 872.
#   Similarly each of the 3 neutrals 265, 264, 263 could be simplified from 31 to 2 elementary blocks.
#
#   Glenn Davis  <gdavis@gluonics.com>

HueInterval	Hmin	Hmax	Vmin	Vmax	Cmin	Cmax	Number
4R-6R	4	6	2	2.5	0.5	1.5	20
4R-6R	4	6	0	2	0.5	1	24
4R-6R	4	6	0	2	1	2	21
4R-6R	4	6	8	10	1.5	3	7
4R-6R	4	6	6.5	8	1.5	3	8
4R-6R	4	6	5.5	6.5	1.5	5	18
4R-6R	4	6	3.5	5.5	1.5	7	19
4R-6R	4	6	8	10	3	7	4
4R-6R	4	6	6.5	8	3	7	5
4R-6R	4	6	5.5	6.5	5	7	6
4R-6R	4	6	2	3.5	3	9	16
4R-6R	4	6	0	2	2	7	17
4R-6R	4	6	6.5	10	7	11	26
4R-6R	4	6	5.5	6.5	7	11	3
4R-6R	4	6	3.5	5.5	7	11	15
4R-6R	4	6	2	3.5	9	11	13
4R-6R	4	6	0	2	7	11	14
4R-6R	4	6	6.5	10	11	Inf	25
4R-6R	4	6	5.5	6.5	11	15	27
4R-6R	4	6	3.5	5.5	11	13	12
4R-6R	4	6	0	3.5	11	Inf	11
4R-6R	4	6	3.5	5.5	13	Inf	11
4R-6R	4	6	5.5	6.5	15	Inf	11
6R-7R	6	7	6.5	10	11	Inf	25
6R-7R	6	7	6.5	10	7	11	26
6R-7R	6	7	5.5	6.5	7	15	27
6R-7R	6	7	5.5	6.5	15	Inf	11
6R-7R	6	7	3.5	5.5	13	Inf	11
6R-7R	6	7	0	3.5	11	Inf	11
6R-7R	6	7	3.5	5.5	11	13	12
6R-7R	6	7	2	3.5	9	11	13
6R-7R	6	7	0	2.5	0	0.5	267
6R-7R	6	7	8	10	3	7	28
6R-7R	6	7	6.5	8	3	7	29
6R-7R	6	7	8	10	1.5	3	31
6R-7R	6	7	8.5	10	0.5	1.5	9
6R-7R	6	7	8.5	10	0	0.5	263
6R-7R	6	7	6.5	8.5	0	0.5	264
6R-7R	6	7	6.5	8.5	0.5	1.5	10
6R-7R	6	7	6.5	8	1.5	3	32
6R-7R	6	7	5.5	6.5	1.5	5	18
6R-7R	6	7	4.5	6.5	0	0.5	265
6R-7R	6	7	4.5	6.5	0.5	1.5	22
6R-7R	6	7	2.5	4.5	0.5	1.5	23
6R-7R	6	7	2.5	4.5	0	0.5	266
6R-7R	6	7	1.5	2.5	0.5	3	47
6R-7R	6	7	2.5	3.5	1.5	3	46
6R-7R	6	7	0	1.5	0.5	1	24
6R-7R	6	7	0	2.5	3	5	44
6R-7R	6	7	0	1.5	1	3	44
6R-7R	6	7	3.5	5.5	1.5	7	19
6R-7R	6	7	5.5	6.5	5	7	30
6R-7R	6	7	2.5	3.5	3	7	43
6R-7R	6	7	0	2.5	5	7	41
6R-7R	6	7	0	2	7	11	14
6R-7R	6	7	2	3.5	7	9	16
6R-7R	6	7	3.5	5.5	7	11	15
7R-8R	7	8	8.5	10	0	0.5	263
7R-8R	7	8	8.5	10	0.5	1.5	9
7R-8R	7	8	6.5	8.5	0	0.5	264
7R-8R	7	8	4.5	6.5	0	0.5	265
7R-8R	7	8	2.5	4.5	0	0.5	266
7R-8R	7	8	0	2.5	0	0.5	267
7R-8R	7	8	0	1.5	0.5	1	24
7R-8R	7	8	1.5	2.5	0.5	3	47
7R-8R	7	8	2.5	4.5	0.5	1.5	23
7R-8R	7	8	2.5	3.5	1.5	3	46
7R-8R	7	8	0	2.5	3	5	44
7R-8R	7	8	0	1.5	1	3	44
7R-8R	7	8	2.5	3.5	3	7	43
7R-8R	7	8	3.5	5.5	1.5	7	19
7R-8R	7	8	4.5	6.5	0.5	1.5	22
7R-8R	7	8	5.5	6.5	1.5	5	18
7R-8R	7	8	6.5	8	1.5	3	32
7R-8R	7	8	6.5	8.5	0.5	1.5	10
7R-8R	7	8	8	10	1.5	3	31
7R-8R	7	8	8	10	3	7	28
7R-8R	7	8	6.5	8	3	7	29
7R-8R	7	8	5.5	6.5	5	7	30
7R-8R	7	8	0	2.5	5	7	41
7R-8R	7	8	6.5	10	7	11	26
7R-8R	7	8	4.5	6.5	7	11	37
7R-8R	7	8	3.5	4.5	7	11	38
7R-8R	7	8	2	3.5	7	9	16
7R-8R	7	8	2	3.5	9	11	13
7R-8R	7	8	0	2	7	11	14
7R-8R	7	8	6.5	10	11	Inf	25
7R-8R	7	8	4.5	6.5	11	13	35
7R-8R	7	8	4.5	6.5	13	Inf	34
7R-8R	7	8	3.5	4.5	11	13	36
7R-8R	7	8	0	3.5	11	Inf	11
7R-8R	7	8	3.5	4.5	13	Inf	11
8R-9R	8	9	8.5	10	0	0.5	263
8R-9R	8	9	6.5	8.5	0	0.5	264
8R-9R	8	9	4.5	6.5	0	0.5	265
8R-9R	8	9	2.5	4.5	0	0.5	266
8R-9R	8	9	0	2.5	0	0.5	267
8R-9R	8	9	0	1.5	0.5	1	24
8R-9R	8	9	8.5	10	0.5	1.5	9
8R-9R	8	9	6.5	8.5	0.5	1.5	10
8R-9R	8	9	4.5	6.5	0.5	1.5	22
8R-9R	8	9	2.5	4.5	0.5	1.5	23
8R-9R	8	9	1.5	2.5	0.5	3	47
8R-9R	8	9	0	2.5	3	5	44
8R-9R	8	9	0	1.5	1	3	44
8R-9R	8	9	2.5	4.5	1.5	3	46
8R-9R	8	9	4.5	5.5	1.5	3	19
8R-9R	8	9	5.5	6.5	1.5	3	18
8R-9R	8	9	6.5	8	1.5	3	32
8R-9R	8	9	8	10	1.5	3	31
8R-9R	8	9	8	10	3	7	28
8R-9R	8	9	6.5	8	3	7	29
8R-9R	8	9	4.5	6.5	3	5	42
8R-9R	8	9	4.5	6.5	5	7	39
8R-9R	8	9	2.5	4.5	3	7	43
8R-9R	8	9	0	2.5	5	7	41
8R-9R	8	9	0	2	7	11	14
8R-9R	8	9	2	3.5	7	9	16
8R-9R	8	9	2	3.5	9	11	13
8R-9R	8	9	0	3.5	11	Inf	11
8R-9R	8	9	3.5	4.5	13	Inf	11
8R-9R	8	9	3.5	4.5	11	13	36
8R-9R	8	9	3.5	4.5	7	11	38
8R-9R	8	9	4.5	6.5	7	11	37
8R-9R	8	9	6.5	10	7	11	26
8R-9R	8	9	6.5	10	11	Inf	25
8R-9R	8	9	4.5	6.5	11	13	35
8R-9R	8	9	4.5	6.5	13	Inf	34
9R-1YR	9	11	8.5	10	0	0.5	263
9R-1YR	9	11	6.5	8.5	0	0.5	264
9R-1YR	9	11	4.5	6.5	0	0.5	265
9R-1YR	9	11	2.5	4.5	0	0.5	266
9R-1YR	9	11	0	2.5	0	0.5	267
9R-1YR	9	11	0	1.5	0.5	1	24
9R-1YR	9	11	1.5	2.5	0.5	3	47
9R-1YR	9	11	0	2.5	3	5	44
9R-1YR	9	11	0	1.5	1	3	44
9R-1YR	9	11	2.5	4.5	1.5	3	46
9R-1YR	9	11	2.5	4.5	0.5	1.5	23
9R-1YR	9	11	4.5	6.5	0.5	1.5	22
9R-1YR	9	11	6.5	8.5	0.5	1.5	10
9R-1YR	9	11	8.5	10	0.5	1.5	9
9R-1YR	9	11	4.5	5.5	1.5	3	19
9R-1YR	9	11	5.5	6.5	1.5	3	18
9R-1YR	9	11	6.5	8	1.5	3	32
9R-1YR	9	11	8	10	1.5	3	31
9R-1YR	9	11	8	10	3	7	28
9R-1YR	9	11	6.5	8	3	7	29
9R-1YR	9	11	4.5	6.5	3	5	42
9R-1YR	9	11	4.5	6.5	5	7	39
9R-1YR	9	11	2.5	4.5	3	7	43
9R-1YR	9	11	0	2.5	5	Inf	41
9R-1YR	9	11	2.5	3.5	7	Inf	40
9R-1YR	9	11	3.5	4.5	7	11	38
9R-1YR	9	11	3.5	4.5	11	13	36
9R-1YR	9	11	3.5	6.5	13	Inf	34
9R-1YR	9	11	4.5	6.5	11	13	35
9R-1YR	9	11	4.5	6.5	7	11	37
9R-1YR	9	11	6.5	10	7	11	26
9R-1YR	9	11	6.5	10	11	Inf	25
1YR-2YR	11	12	8.5	10	0	0.5	263
1YR-2YR	11	12	6.5	8.5	0	0.5	264
1YR-2YR	11	12	4.5	6.5	0	0.5	265
1YR-2YR	11	12	2.5	4.5	0	0.5	266
1YR-2YR	11	12	0	2.5	0	0.5	267
1YR-2YR	11	12	8.5	10	0.5	1.5	9
1YR-2YR	11	12	6.5	8.5	0.5	1.5	10
1YR-2YR	11	12	4.5	6.5	0.5	1.5	22
1YR-2YR	11	12	2.5	4.5	0.5	1.5	64
1YR-2YR	11	12	1.5	2.5	0.5	3	47
1YR-2YR	11	12	0	1.5	0.5	1	65
1YR-2YR	11	12	8	10	1.5	3	31
1YR-2YR	11	12	6.5	8	1.5	3	32
1YR-2YR	11	12	4.5	6.5	1.5	3	45
1YR-2YR	11	12	2.5	4.5	1.5	3	46
1YR-2YR	11	12	0	2.5	3	5	44
1YR-2YR	11	12	0	1.5	1	3	44
1YR-2YR	11	12	8	10	3	7	28
1YR-2YR	11	12	6.5	8	3	7	29
1YR-2YR	11	12	4.5	6.5	3	5	42
1YR-2YR	11	12	4.5	6.5	5	7	39
1YR-2YR	11	12	2.5	4.5	3	7	43
1YR-2YR	11	12	6.5	10	7	11	26
1YR-2YR	11	12	4.5	6.5	7	11	37
1YR-2YR	11	12	3.5	4.5	7	11	38
1YR-2YR	11	12	2.5	3.5	7	Inf	40
1YR-2YR	11	12	0	2.5	5	Inf	41
1YR-2YR	11	12	6.5	10	11	Inf	25
1YR-2YR	11	12	4.5	6.5	11	13	35
1YR-2YR	11	12	3.5	4.5	11	13	36
1YR-2YR	11	12	3.5	6.5	13	Inf	34
2YR-3YR	12	13	8.5	10	0	0.5	263
2YR-3YR	12	13	6.5	8.5	0	0.5	264
2YR-3YR	12	13	4.5	6.5	0	0.5	265
2YR-3YR	12	13	2.5	4.5	0	0.5	266
2YR-3YR	12	13	0	2.5	0	0.5	267
2YR-3YR	12	13	0	1.5	0.5	1	65
2YR-3YR	12	13	1.5	2.5	0.5	3	47
2YR-3YR	12	13	0	2.5	3	5	44
2YR-3YR	12	13	0	1.5	1	3	44
2YR-3YR	12	13	0	2.5	5	Inf	56
2YR-3YR	12	13	2.5	4.5	5	Inf	55
2YR-3YR	12	13	2.5	4.5	3	5	43
2YR-3YR	12	13	2.5	4.5	1.5	3	46
2YR-3YR	12	13	2.5	4.5	0.5	1.5	64
2YR-3YR	12	13	4.5	6.5	0.5	1.5	63
2YR-3YR	12	13	4.5	6.5	1.5	3	45
2YR-3YR	12	13	4.5	6.5	3	5	42
2YR-3YR	12	13	4.5	6.5	5	7	39
2YR-3YR	12	13	4.5	5.5	7	10	54
2YR-3YR	12	13	4.5	5.5	10	14	51
2YR-3YR	12	13	5.5	7.5	10	14	50
2YR-3YR	12	13	5.5	7.5	7	10	53
2YR-3YR	12	13	6.5	7.5	6	7	53
2YR-3YR	12	13	7.5	10	6	10	52
2YR-3YR	12	13	7.5	10	10	14	49
2YR-3YR	12	13	8	10	3	6	28
2YR-3YR	12	13	6.5	8	3	6	29
2YR-3YR	12	13	6.5	8	1.5	3	32
2YR-3YR	12	13	8	10	1.5	3	31
2YR-3YR	12	13	8.5	10	0.5	1.5	9
2YR-3YR	12	13	6.5	8.5	0.5	1.5	10
2YR-3YR	12	13	4.5	10	14	Inf	48
3YR-5YR	13	15	8.5	10	0	0.5	263
3YR-5YR	13	15	6.5	8.5	0	0.5	264
3YR-5YR	13	15	4.5	6.5	0	0.5	265
3YR-5YR	13	15	2.5	4.5	0	0.5	266
3YR-5YR	13	15	0	2.5	0	0.5	267
3YR-5YR	13	15	0	1.5	0.5	1	65
3YR-5YR	13	15	0	2.5	2.5	5	59
3YR-5YR	13	15	0	1.5	1	2.5	59
3YR-5YR	13	15	0	2.5	5	Inf	56
3YR-5YR	13	15	2.5	4.5	5	Inf	55
3YR-5YR	13	15	2.5	4.5	2.5	5	58
3YR-5YR	13	15	2.5	4.5	1.5	2.5	61
3YR-5YR	13	15	2.5	4.5	0.5	1.5	64
3YR-5YR	13	15	1.5	2.5	0.5	2.5	62
3YR-5YR	13	15	4.5	6.5	0.5	1.5	63
3YR-5YR	13	15	4.5	6.5	1.5	3	45
3YR-5YR	13	15	4.5	6.5	3	6	57
3YR-5YR	13	15	4.5	5.5	6	10	54
3YR-5YR	13	15	4.5	5.5	10	14	51
3YR-5YR	13	15	5.5	7.5	10	14	50
3YR-5YR	13	15	5.5	7.5	6	10	53
3YR-5YR	13	15	6.5	8	3	6	29
3YR-5YR	13	15	4.5	10	14	Inf	48
3YR-5YR	13	15	6.5	8.5	0.5	1.5	10
3YR-5YR	13	15	8.5	10	0.5	1.5	9
3YR-5YR	13	15	8	10	1.5	3	31
3YR-5YR	13	15	8	10	3	6	28
3YR-5YR	13	15	7.5	10	6	10	52
3YR-5YR	13	15	7.5	10	10	14	49
3YR-5YR	13	15	6.5	8	1.5	3	32
5YR-7YR	15	17	8.5	10	0	0.5	263
5YR-7YR	15	17	6.5	8.5	0	0.5	264
5YR-7YR	15	17	4.5	6.5	0	0.5	265
5YR-7YR	15	17	2.5	4.5	0	0.5	266
5YR-7YR	15	17	0	2.5	0	0.5	267
5YR-7YR	15	17	8.5	10	0.5	1.2	9
5YR-7YR	15	17	6.5	8.5	0.5	1.2	10
5YR-7YR	15	17	4.5	6.5	0.5	1.2	63
5YR-7YR	15	17	2.5	4.5	0.5	1.2	64
5YR-7YR	15	17	0	1.5	0.5	1	65
5YR-7YR	15	17	1.5	2.5	0.5	2.5	62
5YR-7YR	15	17	0	1.5	1	2.5	59
5YR-7YR	15	17	0	2.5	2.5	5	59
5YR-7YR	15	17	2.5	4.5	2.5	5	58
5YR-7YR	15	17	8	10	1.2	3	31
5YR-7YR	15	17	6.5	8	1.2	3	33
5YR-7YR	15	17	4.5	6.5	1.2	3	60
5YR-7YR	15	17	2.5	4.5	1.2	2.5	61
5YR-7YR	15	17	8	10	3	6	28
5YR-7YR	15	17	6.5	8	3	6	29
5YR-7YR	15	17	4.5	6.5	3	6	57
5YR-7YR	15	17	0	2.5	5	Inf	56
5YR-7YR	15	17	2.5	4.5	5	Inf	55
5YR-7YR	15	17	7.5	10	6	10	52
5YR-7YR	15	17	5.5	7.5	6	10	53
5YR-7YR	15	17	4.5	5.5	6	10	54
5YR-7YR	15	17	7.5	10	10	14	49
5YR-7YR	15	17	5.5	7.5	10	14	50
5YR-7YR	15	17	4.5	5.5	10	14	51
5YR-7YR	15	17	4.5	10	14	Inf	48
7YR-8YR	17	18	8.5	10	0	0.7	263
7YR-8YR	17	18	6.5	8.5	0	0.7	264
7YR-8YR	17	18	4.5	6.5	0	0.7	265
7YR-8YR	17	18	2.5	4.5	0	0.5	266
7YR-8YR	17	18	0	2.5	0	0.5	267
7YR-8YR	17	18	0	1.5	0.5	1	65
7YR-8YR	17	18	0	2.5	2.5	5	59
7YR-8YR	17	18	0	1.5	1	2.5	59
7YR-8YR	17	18	1.5	2.5	0.5	2.5	62
7YR-8YR	17	18	0	2.5	5	Inf	56
7YR-8YR	17	18	2.5	4.5	5	Inf	55
7YR-8YR	17	18	2.5	4.5	2.5	5	58
7YR-8YR	17	18	2.5	4.5	1.2	2.5	61
7YR-8YR	17	18	2.5	4.5	0.5	1.2	64
7YR-8YR	17	18	4.5	6.5	0.7	1.2	63
7YR-8YR	17	18	4.5	6.5	1.2	3	60
7YR-8YR	17	18	4.5	6.5	3	6	57
7YR-8YR	17	18	6.5	7.5	3	6	76
7YR-8YR	17	18	6.5	8	1.2	3	33
7YR-8YR	17	18	6.5	8.5	0.7	1.2	93
7YR-8YR	17	18	8.5	10	0.7	1.2	92
7YR-8YR	17	18	8	10	1.2	3	31
7YR-8YR	17	18	7.5	10	3	6	73
7YR-8YR	17	18	8	10	6	10	70
7YR-8YR	17	18	6.5	8	6	10	71
7YR-8YR	17	18	5.5	6.5	6	10	72
7YR-8YR	17	18	8	10	10	14	67
7YR-8YR	17	18	6.5	8	10	14	68
7YR-8YR	17	18	5.5	6.5	10	14	69
7YR-8YR	17	18	5.5	10	14	Inf	66
7YR-8YR	17	18	4.5	5.5	6	Inf	74
8YR-1Y	18	21	8.5	10	0	0.7	263
8YR-1Y	18	21	6.5	8.5	0	0.7	264
8YR-1Y	18	21	4.5	6.5	0	0.7	265
8YR-1Y	18	21	2.5	4.5	0	0.5	266
8YR-1Y	18	21	0	2.5	0	0.5	267
8YR-1Y	18	21	8.5	10	0.7	2	92
8YR-1Y	18	21	6.5	8.5	0.7	2	93
8YR-1Y	18	21	4.5	6.5	0.7	1.2	63
8YR-1Y	18	21	2.5	4.5	0.5	1.2	64
8YR-1Y	18	21	0	1.5	0.5	1	65
8YR-1Y	18	21	7.5	10	2	6	73
8YR-1Y	18	21	5.5	7.5	2	3	79
8YR-1Y	18	21	5.5	6.5	1.2	2	79
8YR-1Y	18	21	3.5	5.5	1.2	2.5	80
8YR-1Y	18	21	4.5	5.5	2.5	3	80
8YR-1Y	18	21	1.5	2.5	0.5	1.2	81
8YR-1Y	18	21	1.5	3.5	1.2	2.5	81
8YR-1Y	18	21	5.5	7.5	3	6	76
8YR-1Y	18	21	3.5	5.5	3	5	77
8YR-1Y	18	21	3.5	4.5	2.5	3	77
8YR-1Y	18	21	0	3.5	2.5	5	78
8YR-1Y	18	21	0	1.5	1	2.5	78
8YR-1Y	18	21	8	10	6	10	70
8YR-1Y	18	21	6.5	8	6	10	71
8YR-1Y	18	21	5.5	6.5	6	10	72
8YR-1Y	18	21	8	10	10	14	67
8YR-1Y	18	21	6.5	8	10	14	68
8YR-1Y	18	21	5.5	6.5	10	14	69
8YR-1Y	18	21	0	3.5	5	Inf	75
8YR-1Y	18	21	3.5	5.5	5	Inf	74
8YR-1Y	18	21	5.5	10	14	Inf	66
1Y-4Y	21	24	8.5	10	0	0.7	263
1Y-4Y	21	24	6.5	8.5	0	0.7	264
1Y-4Y	21	24	4.5	6.5	0	0.7	265
1Y-4Y	21	24	2.5	4.5	0	0.5	266
1Y-4Y	21	24	0	2.5	0	0.5	267
1Y-4Y	21	24	8.5	10	0.7	2	92
1Y-4Y	21	24	6.5	8.5	0.7	2	93
1Y-4Y	21	24	4.5	6.5	0.7	1.2	63
1Y-4Y	21	24	2.5	4.5	0.5	1.2	64
1Y-4Y	21	24	0	1.5	0.5	1	65
1Y-4Y	21	24	1.5	2.5	0.5	Inf	96
1Y-4Y	21	24	0	1.5	1	Inf	96
1Y-4Y	21	24	2.5	4.5	1.2	Inf	95
1Y-4Y	21	24	4.5	5.5	3	Inf	94
1Y-4Y	21	24	4.5	6.5	1.2	3	94
1Y-4Y	21	24	5.5	6.5	3	5	91
1Y-4Y	21	24	5.5	6.5	5	8	88
1Y-4Y	21	24	5.5	6.5	8	11	85
1Y-4Y	21	24	5.5	10	11	Inf	82
1Y-4Y	21	24	6.5	8	2	5	90
1Y-4Y	21	24	6.5	8	5	8	87
1Y-4Y	21	24	6.5	8	8	11	84
1Y-4Y	21	24	8	10	8	11	83
1Y-4Y	21	24	8	10	5	8	86
1Y-4Y	21	24	8	10	2	5	89
4Y-7Y	24	27	8.5	10	0	0.7	263
4Y-7Y	24	27	6.5	8.5	0	0.7	264
4Y-7Y	24	27	4.5	6.5	0	0.7	265
4Y-7Y	24	27	2.5	4.5	0	0.5	266
4Y-7Y	24	27	0	2.5	0	0.5	267
4Y-7Y	24	27	0	1.5	0.5	1	114
4Y-7Y	24	27	0	2.5	3	Inf	108
4Y-7Y	24	27	0	1.5	1	3	108
4Y-7Y	24	27	1.5	2.5	0.5	3	111
4Y-7Y	24	27	2.5	4.5	0.5	1.5	113
4Y-7Y	24	27	2.5	4.5	1.5	3	110
4Y-7Y	24	27	2.5	4.5	3	Inf	107
4Y-7Y	24	27	4.5	5.5	3	Inf	106
4Y-7Y	24	27	4.5	6.5	0.7	2	112
4Y-7Y	24	27	4.5	6.5	2	3	109
4Y-7Y	24	27	5.5	6.5	3	5	91
4Y-7Y	24	27	5.5	6.5	5	8	88
4Y-7Y	24	27	5.5	6.5	8	11	85
4Y-7Y	24	27	5.5	10	11	Inf	82
4Y-7Y	24	27	6.5	8	8	11	84
4Y-7Y	24	27	6.5	8	5	8	87
4Y-7Y	24	27	6.5	8	2	5	90
4Y-7Y	24	27	6.5	8.5	0.7	2	93
4Y-7Y	24	27	8.5	10	0.7	2	92
4Y-7Y	24	27	8	10	2	5	89
4Y-7Y	24	27	8	10	5	8	86
4Y-7Y	24	27	8	10	8	11	83
7Y-9Y	27	29	8.5	10	0	0.7	263
7Y-9Y	27	29	6.5	8.5	0	0.7	264
7Y-9Y	27	29	4.5	6.5	0	0.7	265
7Y-9Y	27	29	2.5	4.5	0	0.5	266
7Y-9Y	27	29	0	2.5	0	0.5	267
7Y-9Y	27	29	0	1.5	0.5	1	114
7Y-9Y	27	29	0	2.5	3	Inf	108
7Y-9Y	27	29	0	1.5	1	3	108
7Y-9Y	27	29	1.5	2.5	0.5	3	111
7Y-9Y	27	29	2.5	4.5	0.5	1.5	113
7Y-9Y	27	29	2.5	4.5	1.5	3	110
7Y-9Y	27	29	2.5	4.5	3	Inf	107
7Y-9Y	27	29	4.5	6.5	0.7	2	112
7Y-9Y	27	29	4.5	6.5	2	3	109
7Y-9Y	27	29	6.5	8.5	0.7	2	93
7Y-9Y	27	29	8.5	10	0.7	2	92
7Y-9Y	27	29	8	10	2	3	89
7Y-9Y	27	29	6.5	8	2	3	90
7Y-9Y	27	29	8	10	3	5	104
7Y-9Y	27	29	6.5	8	3	5	105
7Y-9Y	27	29	4.5	5.5	5	Inf	106
7Y-9Y	27	29	4.5	6.5	3	5	106
7Y-9Y	27	29	5.5	6.5	5	8	103
7Y-9Y	27	29	5.5	6.5	8	11	100
7Y-9Y	27	29	6.5	8	8	11	99
7Y-9Y	27	29	6.5	8	5	8	102
7Y-9Y	27	29	8	10	5	8	101
